Table,Group,Letters
1,1,5.8
1,1,4.2
1,1,
1,2,7.7
1,2,4.6
1,2,5.5
1,3,4
1,3,3
1,3,7.2
2,1,7.7
2,1,7.1
2,1,7.9
2,2,7.8
2,2,6.6
2,2,8.4
2,3,8.5
2,3,6.7
2,3,8
3,1,8.8
3,1,7.1
3,1,4.4
3,2,7.4
3,2,4.7
3,2,5.9
3,3,4.5
3,3,5.5
3,3,7.9
4,1,4.6
4,1,4.4
4,1,6
4,2,4.7
4,2,7.5
4,2,
4,3,7.1
4,3,7.5
4,3,5.8
5,1,5.8
5,1,4.6
5,1,
5,2,10.4
5,2,5.6
5,2,5.8
5,3,6
5,3,6.6
5,3,8
6,1,
6,1,5.6
6,1,3.9
6,2,5.3
6,2,5.3
6,2,5.3
6,3,7.1
6,3,7.3
6,3,9.1
7,1,7.5
7,1,5.1
7,1,5.4
7,2,10.1
7,2,10.2
7,2,5.2
7,3,6.1
7,3,8.3
7,3,
8,1,7.6
8,1,7.1
8,1,8.8
8,2,6.4
8,2,5.6
8,2,5.9
8,3,5.3
8,3,
8,3,4.3
9,1,3.3
9,1,5
9,1,6
9,2,6.3
9,2,6.3
9,2,
9,3,6.5
9,3,7.2
9,3,7.2
10,1,5.2
10,1,8.2
10,1,6
10,2,5.6
10,2,7.2
10,2,8.3
10,3,
10,3,10.6
10,3,7.3
