Major,Residency ,Num_Credits,Dominant_hand,Hand_Span,GripStrength_DomHand,GripStrength_NonDomHand
Microbiology ,in state,15,right,8in,53.7,45.4
Psychology ,In state,19,right,17.5 cm,54 lbs,32.4 lbs 
Business ,Out of state,17,right,22.25,64,68
Buisness marketing,Out of state,16,right,21 cm,88.3,84.4
Microbiology - Pre Med,Out of state,15,right,19,44.4,42.2
Business Management ,In state ,18,right,22,86.4,70.8
Environmental science,Out of state,16,right,16 cm,78.5,52.2
Finance ,Out of state ,15,right,22.5,89.6,94.4
Biomedical Engineering ,In-State,15,right,18.5 cm,60.2 lbs,57.4
Business Management,In-state,15,right,22,98.8,92.8
Business management,In_state,12,right,20 cm,68.6,71
Undecided ,In-state ,15,right,19 cm ,40.0 lbs ,38.0 lbs 
Business Marketing,Out of State,16,right,23,108.6,111.8
Kinesiology ,out_state,18,right,22,92,91.2
Paleontology ,in-state,19,right,20.1,43.2,40.4
Business Management ,In State,15,right,22,131,128
Pre Med,Out of State,18,right,22,97,89
Business Management,Out-of-state,15,right,20cm,75.6,89
nursing,out of state,15,right,22 cm,60,52
Conservation Biology,Out of state,15,right,19 cm,103.8,88.2
Microbiology ,Out-of-state,18,right,24 centimeters,97.6,90.6
Accounting ,In state,15,right,23,137,118
Film and Photo,"Out of State, Texas",15,right,26 cm,110,100
business_marketing,in_state,15,right,18,56,46
Undecided ,Out of state,16,right,19,71,71
Environmental Science Horticulture,In state ,15,right,20cm,72,48
Nursing,In state ,12,right,17,31.4,38.6
Biotechnology ,Out of State,19,right,19 cm,54.2 lbs,52.6 lbs
Microbiology,Out of state,15,right,20,73.6,74.6
Nursing,Out of state,18,right,21.6,55.2,43.4
Business Finance,Out of state,15,right,24,103.4,127.6
Nursing ,in state,17,right,20 centimeters ,45.8,38.8
Business management ,Out of state,9,right,24,120,107
Pre-med/ biochem,In-state,15,right,18 cm,55.4,50.8
Pre-med,Instate,15,right,22.45,74,80.2
Fish and wildlife management ,In state,15,right,21.3,97.8,95.2
Animal science,Out of state,15,right,22,84.2,81.4
Business Management and Finance,Out-of-state,15 or more,left,9”,114.8,115.4
Sociology with an emphasis in criminology + German,Out of state,15,right,17.5,75.8,67.6
Nursing,Out-of-state,15,right,21cm,68.8lbs,56.8lbs
Photography and O Bio ,In state,16,right,21,69.6,56.8
Snow Science,Out of state,13,right,22cm,91,79.6
Biochem ,out_state,16,right,21,75,69
biomedical_engineering,in_state,16,right,19,62,54.8
Sustainable food systems,Out of state,17,right,20,48.6,35.8
Political Science,Out of State,15,right,21,100.6,77.8
nursing ,out of state ,15,right,19,51.2,46.6
Accounting ,Out of state ,19,right,20,69,71
Cell Biology and Neuroscience ,Out of state ,16,right,19.5 cm,23.7,34.2
