Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Total No of Comments,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness_Thumbnail,Trustworthiness_Video,Does the Video Require Subject Matter Expertise from an Expert ?,Creator_SME,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
T-Series,https://www.youtube.com/watch?v=Ard-_9pCyzA,Bande,0:03:15,Hindi,Music,"233,518.00","10,000.00",310,"227,000,000.00",15-10-2022,13-03-2006,Music,Maharashtra,"204,560,598,940.00",10,10,No,No,Trustable,Sachin Gautam
T-Series,https://www.youtube.com/watch?v=oVcfG_VEmPw,Sunidhi Chauhan: Chaap Tilak (Audio),0:04:34,Hindi,Music,"19,644.00",349,29,"227,000,000.00",15-10-2022,13-03-2006,Music,Maharashtra,"204,560,598,940.00",10,10,No,No,Trustable,Sachin Gautam
T-Series,https://www.youtube.com/watch?v=2FihYZxJISs,Pyaar Karenge(Audio): Token,0:04:20,Hindi,Music,"36,172.00",682,121,"227,000,000.00",15-10-2022,13-03-2006,Music,Maharashtra,"204,560,598,940.00",10,10,No,No,Trustable,Sachin Gautam
T-Series,https://www.youtube.com/watch?v=4jHqHkaE8PU,Dil de diya hai(teaser) Thank God,0:00:29,Hindi,Music,"455,280.00","24,000.00",586,"227,000,000.00",16-10-2022,13-03-2006,Music,Maharashtra,"204,560,598,940.00",10,10,No,No,Trustable,Sachin Gautam
T-Series,https://www.youtube.com/watch?v=4IvHLbCpiCU,Tara vs Bilal:Dialogue Promo 01,0:00:30,Hindi,Entertainment,"98,867.00","3,500.00",299,"227,000,000.00",16-10-2022,13-03-2006,Music,Maharashtra,"204,560,598,940.00",10,10,No,No,Trustable,Sachin Gautam
CarryMinati,https://www.youtube.com/watch?v=zzwRbKI2pn4,Yalgaar,0:03:15,Hindi,Music,"312,997,518.00","17,000,000.00","1,700,000.00","37,000,000.00",5/6/2020,30-10-2014,Entertainment,Delhi,"3,029,840,157.00",10,10,No,No,Trustable,Sachin Gautam
CarryMinati,https://www.youtube.com/watch?v=l6BChpns5w8,Ladkiyon ka best friend,0:09:04,Hindi,Entertainment,"28,080,731.00","4,600,000.00","180,000.00","37,000,000.00",11/8/2022,30-10-2014,Entertainment,Delhi,"3,029,840,157.00",10,10,No,No,Trustable,Sachin Gautam
CarryMinati,https://www.youtube.com/watch?v=-LIMVVfRp6Q,Indian food magic,0:08:06,Hindi,Entertainment,"31,697,064.00","5,100,000.00","150,000.00","37,000,000.00",21-04-2022,30-10-2014,Entertainment,Delhi,"3,029,840,157.00",10,10,No,No,Trustable,Sachin Gautam
CarryMinati,https://www.youtube.com/watch?v=0jUj3rfO7eM,Thara bhaiii carryminati,0:00:00,Hindi,Entertainment,"49,751,427.00","6,400,000.00","340,000.00","37,000,000.00",19-01-2022,30-10-2014,Entertainment,Delhi,"3,029,840,157.00",8,10,No,No,Trustable,Sachin Gautam
CarryMinati,https://www.youtube.com/watch?v=7mFvyrNHZRY,Vardaan,0:05:25,Hindi,Music,"64,338,132.00","6,400,000.00","430,000.00","37,000,000.00",17-01-2021,30-10-2014,Entertainment,Delhi,"3,029,840,157.00",10,10,No,No,Trustable,Sachin Gautam
Sandeep Maheshwari ,https://www.youtube.com/watch?v=eDiA1p5DlLg,World's Most Viewed life changing video,2:11:28,Hindi,Motivation,"62,798,625.00","870,000.00","38,000.00","25,500,000.00",24-11-2012,13-02-2012,Motivation,Delhi,"1,991,376,345.00",8,10,Yes,Yes,Trustable,Sachin Gautam
Sandeep Maheshwari ,https://www.youtube.com/watch?v=GSau-ot0QHQ,Meet Zindagi with Richa,0:16:15,Hindi,Motivation,"1,000,915.00","74,000.00","5,700.00","25,500,000.00",15-10-2022,13-02-2012,Motivation,Delhi,"1,991,376,345.00",9,10,Yes,Yes,Trustable,Sachin Gautam
Sandeep Maheshwari ,https://www.youtube.com/watch?v=Kdr7cKs_YQ0,Meet Mahatmaji Technical,0:17:41,Hindi,Motivation,"826,920.00","58,000.00","4,200.00","25,500,000.00",13-10-2022,13-02-2012,Motivation,Delhi,"1,991,376,345.00",9,10,Yes,Yes,Trustable,Sachin Gautam
Sandeep Maheshwari ,https://www.youtube.com/watch?v=BGf2RS2Qqw8,Meet Sonu Sharma,0:15:47,Hindi,Motivation,"3,688,331.00","340,000.00","20,000.00","25,500,000.00",11/10/2022,13-02-2012,Motivation,Delhi,"1,991,376,345.00",9,10,Yes,Yes,Trustable,Sachin Gautam
Sandeep Maheshwari ,https://www.youtube.com/watch?v=mu6DuidooOY,Meet Mr.Asia Yatinder Singh,0:17:48,Hindi,Motivation,"2,102,542.00","160,000.00","12,000.00","25,500,000.00",7/10/2022,13-02-2012,Motivation,Delhi,"1,991,376,345.00",9,10,Yes,Yes,Trustable,Sachin Gautam
Total Gaming,https://www.youtube.com/watch?v=clJrG6xzHdw,Ajjubhai vs Amitbhai,0:21:31,Hindi,Entertainment,"37,467,373.00","2,600,000.00","200,000.00","33,700,000.00",25-06-2020,9/10/2018,Entertainment,Not Available,"6,057,852,950.00",8,8,No,No,Trustable,Sachin Gautam
Total Gaming,https://www.youtube.com/watch?v=pdCu-4jyVP8,Minecraft king Ajju bhai,0:20:43,Hindi,Entertainment,"543,578.00","63,000.00","3,100.00","33,700,000.00",13-10-2022,9/10/2018,Entertainment,Not Available,"6,057,852,950.00",8,8,No,No,Trustable,Sachin Gautam
Total Gaming,https://www.youtube.com/watch?v=fxi0DgraMC0,We Need to save Jurassic park,1:13:16,Hindi,Entertainment,"417,504.00","48,000.00","2,300.00","33,700,000.00",11/10/2022,9/10/2018,Entertainment,Not Available,"6,057,852,950.00",8,8,No,No,Trustable,Sachin Gautam
