airport,city,state,airport_name,hub,international,elevation_1000,latitude,longitude,arr_flights,perc_delay15,perc_cancelled,perc_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
ABI,Abilene, TX, Abilene Regional,no,no,1.7906,32.4,-99.7,195,16.4102564,0.512820513,0,1563,459,21,257,0,826
ABY,Albany, GA, Southwest Georgia Regional,no,no,0.1932,31.5,-81.2,81,13.5802469,0,0,1244,890,43,39,0,272
ACV,Arcata/Eureka, CA, California Redwood Coast Humboldt County,no,no,0.2223,41,-124.1,215,23.255814,4.186046512,2.325581395,4763,1613,549,154,0,2447
ACY,Atlantic City, NJ, Atlantic City International,no,yes,0.0748,39.5,-74.6,293,15.3583618,0.682593857,0.682593857,2905,476,124,771,25,1509
ADQ,Kodiak, AK, Kodiak Airport,no,no,0.0787,57.7,-152.5,54,12.962963,14.81481481,0,329,180,1,51,0,97
AEX,Alexandria, LA, Alexandria International,no,yes,0.0881,31.3,-92.5,282,8.8652482,0.709219858,0.709219858,1293,302,58,112,0,821
ALB,Albany, NY, Albany International,no,yes,0.2848,42.7,-73.8,943,23.4358431,3.181336161,0,15127,5627,2346,2096,44,5014
AMA,Amarillo, TX, Rick Husband Amarillo International,no,yes,3.6067,35.2,-101.7,410,25.3658537,2.926829268,0.487804878,9705,2253,168,616,0,6668
APN,Alpena, MI, Alpena County Regional,no,no,0.6895,45.1,-83.6,53,20.754717,9.433962264,0,2529,439,1236,746,0,108
ATL,Atlanta, GA, Hartsfield-Jackson Atlanta International,yes,yes,1.0262,33.6,-84.4,32314,13.3595346,0.160920963,0.046419509,269876,106245,13331,45674,375,104251
ATY,Watertown, SD, Watertown Regional,no,no,1.7493,44.9,-97.2,62,17.7419355,9.677419355,1.612903226,423,91,20,110,0,202
AVL,Asheville, NC, Asheville Regional,no,no,2.164,35.4,-82.5,833,25.210084,0.240096038,1.320528211,12995,3476,596,2052,83,6788
BFF,Scottsbluff, NE, Western Neb. Regional/William B. Heilig Field,no,no,3.9673,41.9,-103.6,53,15.0943396,3.773584906,0,976,791,0,11,0,174
BFL,Bakersfield, CA, Meadows Field,no,no,0.5096,35.4,-119.1,229,30.1310044,0.873362445,0.873362445,6597,2824,99,241,23,3410
BGR,Bangor, ME, Bangor International,no,yes,0.1921,44.8,-68.8,233,32.1888412,3.433476395,0.429184549,5121,2199,40,842,0,2040
BIL,Billings, MT, Billings Logan International,no,yes,3.6623,45.8,-108.5,359,15.8774373,0.835654596,1.114206128,4983,1308,2198,432,0,1045
BIS,Bismarck/Mandan, ND, Bismarck Municipal,no,no,1.6613,46.8,-100.7,358,19.273743,1.675977654,0.279329609,5415,1337,1751,603,7,1717
BLI,Bellingham, WA, Bellingham International,no,yes,0.171,48.8,-122.5,129,13.1782946,0,0.775193798,598,92,13,142,0,351
BLV,Belleville, IL, Scott AFB/MidAmerica,no,no,0.4591,38.5,-89.8,77,11.6883117,3.896103896,1.298701299,555,53,137,58,0,307
BQK,Brunswick, GA, Brunswick Golden Isles,no,no,0.0256,31.3,-81.5,89,11.2359551,0,0,1425,1251,17,102,0,55
BRD,Brainerd, MN, Brainerd Lakes Regional,no,no,1.2322,46.4,-94.1,54,16.6666667,0,0,1602,20,1190,32,0,360
BRO,Brownsville, TX, Brownsville South Padre Island International,no,yes,0.0024,25.9,-97.4,212,13.2075472,1.41509434,0,1600,723,11,149,0,717
BRW,Barrow, AK, Wiley Post/Will Rogers Memorial,no,no,0.0489,71.3,-156.8,62,12.9032258,0,3.225806452,470,17,0,120,0,333
BTM,Butte, MT, Bert Mooney,no,no,5.5505,46,-112.5,58,8.6206897,0,0,382,309,0,31,0,42
BUF,Buffalo, NY, Buffalo Niagara International,no,yes,0.7269,42.9,-78.7,1953,22.8366615,1.638504864,0.204813108,36098,13507,1597,3516,0,17478
BZN,Bozeman, MT,Bozeman Yellowstone International,no,yes,4.4734,45.8,-111.2,581,16.1790017,1.376936317,0.344234079,4817,2058,178,509,0,2072
