Temp,Shift
97.3,0.985
97.4,0.885
97.4,0.885
97.4,0.885
97.4,0.885
97.5,0.785
97.5,0.785
97.6,0.685
97.6,0.685
97.6,0.685
97.7,0.585
97.8,0.485
97.8,0.485
98,0.285
98,0.285
98,0.285
98.1,0.185
98.2,0.085
98.4,-0.115
98.5,-0.215
98.6,-0.315
98.6,-0.315
98.6,-0.315
98.8,-0.515
98.9,-0.615
99,-0.715
99.3,-1.015
99.5,-1.215
97.2,1.085
97.2,1.085
97.6,0.685
97.8,0.485
98,0.285
98.1,0.185
98.2,0.085
98.2,0.085
98.2,0.085
98.4,-0.115
98.5,-0.215
98.6,-0.315
98.6,-0.315
98.6,-0.315
98.7,-0.415
98.7,-0.415
98.7,-0.415
98.8,-0.515
99.1,-0.815
99.2,-0.915
99.2,-0.915
99.3,-1.015
99.4,-1.115
100,-1.715
